File Name,File Path,UUID,File Extension,Type of File,Status
200506_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200506_Palstek.pdf,79a7cc02-293d-5592-9bb2-7389003a73bd,.pdf,<class 'str'>,imported
200501_blauwasser.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200501_blauwasser.pdf,c61f3249-94c2-5959-b9fe-a784fc4153e8,.pdf,<class 'str'>,imported
200603_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200603_Palstek.pdf,fe82c549-b241-5e34-b6be-b31ccaa07dbc,.pdf,<class 'str'>,imported
200704_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200704_Palstek.pdf,777ee511-28c8-57a8-a8a2-aa802ba0aa8e,.pdf,<class 'str'>,imported
200505_PalStek-1.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200505_PalStek-1.pdf,a06d913c-71b7-5ff9-8e86-597b9a98ea93,.pdf,<class 'str'>,imported
DEVONtech_storage,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/DEVONtech_storage,c99bdb7b-29c3-5474-8b0a-238812ad10ad,,<class 'str'>,no loader available
200804_PalStek-1.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200804_PalStek-1.pdf,1b7adebc-16be-5ff8-9eb0-ef7f4c98ab46,.pdf,<class 'str'>,imported
200701_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200701_Palstek.pdf,31c43a17-e527-54ce-8456-8dd12297cbda,.pdf,<class 'str'>,imported
201003_Blauwasser.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/201003_Blauwasser.pdf,283687d3-9963-56bc-ba61-479e764c4630,.pdf,<class 'str'>,imported
200902_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200902_Palstek.pdf,f4183cd0-1af7-5746-a768-98ff06caccd5,.pdf,<class 'str'>,imported
201303_YachtingBlue.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/201303_YachtingBlue.pdf,c5a4cd99-c493-5b6b-bb85-663eaefb742c,.pdf,<class 'str'>,imported
200805_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200805_Palstek.pdf,a239cdcd-d953-5418-ab98-38886ac905c1,.pdf,<class 'str'>,imported
